area_type,availability,location,size,society,total_sqft,bath,balcony,price
Super built-up Area,Ready To Move,Vaishali Nagar,2 BHK,Shyam Residency,1638,4,2,75.0
Plot Area,Under Construction,Mansarovar Ext.,2 BHK,Raj Villas,2021,3,3,55.0
Built-up Area,Ready To Move,Ajmer Road,2 BHK,Green Meadows,1354,1,1,120.0
Carpet Area,Ready To Move,Hanuman Nagar,4 BHK,City Heights,1958,4,1,250.0
Super built-up Area,Under Construction,Manchwa,1 BHK,Royal Enclave,3613,5,3,80.0
Plot Area,Ready To Move,Raja Park,4 BHK,Elite Society,2477,2,1,95.0
Built-up Area,Ready To Move,Brahmpuri,4 BHK,Park View,1763,5,1,150.0
Carpet Area,Under Construction,Parasrampuri,4 BHK,Sunrise Apartments,2165,2,3,45.0
Super built-up Area,Ready To Move,Sita Vihar,3 BHK,Blue Haven,3907,1,1,60.0
Plot Area,Ready To Move,Dahar Ka Balaji,3 BHK,Prime Residency,3249,1,1,85.0
Built-up Area,Ready To Move,Gandhi Path West,4 BHK,Emerald Greens,896,4,2,90.0
Carpet Area,Under Construction,Tagore Nagar,5 BHK,Metro Heights,2352,4,1,70.0
Super built-up Area,Ready To Move,Sirsi,2 BHK,Urban Estate,1781,5,2,110.0
Plot Area,Under Construction,Maniyawas,5 BHK,Cosmopolitan Society,3580,5,1,50.0
Built-up Area,Ready To Move,Chokdi Gangapol,5 BHK,Heritage Homes,3758,3,1,65.0
Carpet Area,Under Construction,Civil Lines,5 BHK,Pearl Gardens,2822,3,1,105.0
Super built-up Area,Ready To Move,Shyam Nagar,3 BHK,Sapphire Residency,2858,3,3,130.0
Plot Area,Under Construction,Bapu Nagar,4 BHK,Golden Horizon,993,1,1,140.0
Built-up Area,Ready To Move,Jawahar Nagar,4 BHK,Luxury Heights,3003,4,2,160.0
Carpet Area,Under Construction,Malviya Nagar,4 BHK,Zenith Society,3321,3,2,100.0
Built-up Area,Ready To Move,Raja Park,1 BHK,Shyam Residency,648,1,1,17.88
Super built-up Area,Ready To Move,Chokdi Gangapol,4 BHK,Royal Enclave,1589,5,3,41.29
Plot Area,Under Construction,Tagore Nagar,5 BHK,Cosmopolitan Society,1957,4,3,76.86
Plot Area,Under Construction,Shyam Nagar,4 BHK,Urban Estate,3371,3,3,327.44
Super built-up Area,Ready To Move,Chokdi Gangapol,1 BHK,Green Meadows,1914,1,1,74.95
Plot Area,Ready To Move,Vaishali Nagar,2 BHK,Shyam Residency,4377,3,2,152.85
Plot Area,Ready To Move,Ajmer Road,3 BHK,Golden Horizon,4656,4,2,438.69
Super built-up Area,Ready To Move,Mansarovar Ext.,3 BHK,Royal Enclave,1966,3,3,125.91
Super built-up Area,Ready To Move,Mansarovar Ext.,3 BHK,Royal Enclave,1518,4,2,214.62
Plot Area,Ready To Move,Shyam Nagar,5 BHK,Shyam Residency,3476,5,3,466.0
Plot Area,Ready To Move,Raja Park,1 BHK,Royal Enclave,4806,1,0,488.8
Built-up Area,Ready To Move,Brahmpuri,5 BHK,Luxury Heights,1286,5,3,29.2
Built-up Area,Ready To Move,Parasrampuri,5 BHK,Golden Horizon,1086,5,3,154.27
Built-up Area,Under Construction,Bapu Nagar,2 BHK,Royal Enclave,2045,2,2,52.88
Carpet Area,Ready To Move,Brahmpuri,1 BHK,Zenith Society,1799,1,0,230.61
Carpet Area,Ready To Move,Raja Park,3 BHK,Raj Villas,1004,2,1,23.11
Plot Area,Ready To Move,Tagore Nagar,4 BHK,Royal Enclave,4824,3,2,385.18
Plot Area,Ready To Move,Parasrampuri,5 BHK,Pearl Gardens,2260,5,3,85.3
Plot Area,Ready To Move,Mansarovar Ext.,1 BHK,Cosmopolitan Society,1478,2,0,73.26
Built-up Area,Ready To Move,Tagore Nagar,1 BHK,Sapphire Residency,618,1,0,59.24
Plot Area,Under Construction,Brahmpuri,5 BHK,Sunrise Apartments,1466,5,3,177.4
Super built-up Area,Under Construction,Jawahar Nagar,2 BHK,Elite Society,1636,1,1,138.46
Carpet Area,Under Construction,Ajmer Road,5 BHK,Cosmopolitan Society,1387,5,3,88.89
Plot Area,Under Construction,Vaishali Nagar,2 BHK,Prime Residency,4770,3,2,541.05
Built-up Area,Under Construction,Brahmpuri,5 BHK,Emerald Greens,2120,5,3,134.55
Carpet Area,Ready To Move,Vaishali Nagar,2 BHK,Green Meadows,906,3,2,120.13
Plot Area,Ready To Move,Chokdi Gangapol,2 BHK,Sapphire Residency,2901,2,2,119.29
Carpet Area,Under Construction,Jawahar Nagar,2 BHK,Elite Society,1441,3,0,122.87
Built-up Area,Under Construction,Manchwa,1 BHK,Prime Residency,1057,1,0,91.21
Super built-up Area,Ready To Move,Malviya Nagar,1 BHK,Shyam Residency,1961,2,0,270.12
Plot Area,Ready To Move,Raja Park,1 BHK,Luxury Heights,3062,2,0,269.43
Plot Area,Ready To Move,Parasrampuri,2 BHK,City Heights,1067,2,1,121.86
Super built-up Area,Under Construction,Ajmer Road,3 BHK,Metro Heights,1492,3,3,133.02
Super built-up Area,Ready To Move,Ajmer Road,2 BHK,Cosmopolitan Society,1749,3,0,195.83
Super built-up Area,Ready To Move,Bapu Nagar,4 BHK,Metro Heights,2542,3,2,176.17
Plot Area,Ready To Move,Manchwa,4 BHK,Shyam Residency,2394,4,3,155.12
Built-up Area,Ready To Move,Civil Lines,4 BHK,Park View,1092,5,3,36.47
